time,consensus
2014-01-20,0.52
2014-01-25,0.44
2014-01-30,0.44
2014-02-04,0.33
2014-02-09,0.56
2014-02-14,0.4
2014-02-19,0.37
2014-02-24,0.34
2014-03-01,0.28
2014-03-06,0.17
2014-03-11,0.16
2014-03-16,0.19
2014-03-21,0.29
2014-03-26,0.26
2014-03-31,0.41
2014-04-05,0.36
2014-04-10,0.38
2014-04-15,0.37
2014-04-20,0.39
2014-04-25,0.38
2014-04-30,0.37
2014-05-05,0.39
2014-05-10,0.34
2014-05-15,0.46
2014-05-20,0.49
2014-05-25,0.5
2014-05-30,0.53
2014-06-04,0.46
2014-06-09,0.41
2014-06-14,0.41
2014-06-19,0.47
2014-06-24,0.35
2014-06-29,0.11
2014-07-04,0.04
2014-07-09,0.03
2014-07-14,0.03
2014-07-19,0.03
2014-07-24,0.05
2014-07-29,0.04
2014-08-03,0.09
2014-08-08,0.26
2014-08-13,0.24
2014-08-18,0.29
2014-08-23,0.3
2014-08-28,0.22
2014-09-02,0.15
2014-09-07,0.18
2014-09-12,0.24
2014-09-17,0.23
2014-09-22,0.31
2014-09-27,0.35
2014-10-02,0.38
2014-10-07,0.33
2014-10-12,0.33
2014-10-17,0.31
2014-10-22,0.26
2014-10-27,0.16
2014-11-01,0.07
2014-11-06,0.05
2014-11-11,0.03
2014-11-16,0.03
2014-11-21,0.02
2014-11-26,0.03
2014-12-01,0.03
2014-12-06,0.04
2014-12-11,0.08
2014-12-16,0.21
2014-12-21,0.23
2014-12-26,0.22
2014-12-31,0.07
2015-01-05,0.08
2015-01-10,0.06
2015-01-15,0.03
2015-01-20,0.15
2015-01-25,0.23
2015-01-30,0.31
2015-02-04,0.3
2015-02-09,0.01
2015-02-14,0.03
2015-02-19,0.06
2015-02-24,0.01
2015-03-01,0.07
2015-03-06,0.04
2015-03-11,0.2
2015-03-16,0.09
2015-03-21,0.13
2015-03-26,0.04
2015-03-31,0.04
2015-04-05,0.03
2015-04-10,0.05
2015-04-15,0.12
2015-04-20,0.01
2015-04-25,0.01
2015-04-30,0.03
2015-05-05,0.05
2015-05-10,0.07
2015-05-15,0.04
2015-05-20,0.01
2015-05-25,0.01
2015-05-30,0.03
2015-06-04,0.04
2015-06-09,0.06
2015-06-14,0.04
2015-06-19,0.03
2015-06-24,0.03
2015-06-29,0.04
2015-07-04,0.07
2015-07-09,0.07
2015-07-14,0.07
2015-07-19,0.11
2015-07-24,0.1
2015-07-29,0.31
2015-08-03,0.45
2015-08-08,0.46
2015-08-13,0.49
2015-08-18,0.49
2015-08-23,0.43
2015-08-28,0.42
2015-09-02,0.37
2015-09-07,0.35
2015-09-12,0.22
2015-09-17,0.08
2015-09-22,0.09
2015-09-27,0.09
2015-10-02,0.22
2015-10-07,0.22
2015-10-12,0.38
2015-10-17,0.36
2015-10-22,0.32
2015-10-27,0.34
2015-11-01,0.4
2015-11-06,0.39
2015-11-11,0.27
2015-11-16,0.09
2015-11-21,0.07
2015-11-26,0.07
2015-12-01,0.04
2015-12-06,0.08
2015-12-11,0.05
2015-12-16,0.07
2015-12-21,0.02
2015-12-26,0.02
2015-12-31,0.03
2016-01-05,0.04
2016-01-10,0.13
2016-01-15,0.09
2016-01-20,0.15
2016-01-25,0.17
2016-01-30,0.13
2016-02-04,0.07
2016-02-09,0.14
2016-02-14,0.01
2016-02-19,0.02
2016-02-24,0.02
2016-02-29,0.01
2016-03-05,0.01
2016-03-10,0.03
2016-03-15,0.06
2016-03-20,0.02
2016-03-25,0.09
2016-03-30,0.37
2016-04-04,0.39
2016-04-09,0.29
2016-04-14,0.13
2016-04-19,0.39
2016-04-24,0.27
2016-04-29,0.17
2016-05-04,0.26
2016-05-09,0.18
2016-05-14,0.34
2016-05-19,0.41
2016-05-24,0.38
2016-05-29,0.33
2016-06-03,0.44
2016-06-08,0.37
2016-06-13,0.52
2016-06-18,0.58
2016-06-23,0.6
2016-06-28,0.57
2016-07-03,0.5
2016-07-08,0.43
2016-07-13,0.48
2016-07-18,0.41
2016-07-23,0.5
2016-07-28,0.51
2016-08-02,0.58
2016-08-07,0.57
2016-08-12,0.53
2016-08-17,0.61
2016-08-22,0.64
2016-08-27,0.58
2016-09-01,0.61
2016-09-06,0.58
2016-09-11,0.95
2016-09-16,1.0
2016-09-21,0.99
2016-09-26,0.98
2016-10-01,0.99
2016-10-06,0.99
2016-10-11,0.74
2016-10-16,0.7
2016-10-21,0.69
2016-10-26,0.56
2016-10-31,0.36
2016-11-05,0.2
2016-11-10,0.31
2016-11-15,0.34
2016-11-20,0.23
2016-11-25,0.23
2016-11-30,0.44
2016-12-05,0.44
2016-12-10,0.31
2016-12-15,0.35
2016-12-20,0.19
2016-12-25,0.37
2016-12-30,0.34
2017-01-04,0.33
2017-01-09,0.37
2017-01-14,0.4
2017-01-19,0.31
2017-01-24,0.14
2017-01-29,0.12
2017-02-03,0.12
2017-02-08,0.21
2017-02-13,0.2
2017-02-18,0.24
2017-02-23,0.43
2017-02-28,0.32
2017-03-05,0.31
2017-03-10,0.36
2017-03-15,0.17
2017-03-20,0.24
2017-03-25,0.24
2017-03-30,0.24
2017-04-04,0.22
2017-04-09,0.26
2017-04-14,0.2
2017-04-19,0.18
2017-04-24,0.24
2017-04-29,0.25
2017-05-04,0.28
2017-05-09,0.25
2017-05-14,0.26
2017-05-19,0.21
2017-05-24,0.25
2017-05-29,0.21
2017-06-03,0.23
2017-06-08,0.28
2017-06-13,0.34
2017-06-18,0.3
