time,magnetic,gas_max,gas_min,gas_mean,gas_number,yudamari_number,yudamari_temp,kakouwall_temp,tilt1_NS,tilt1_EW,tilt2_NS,tilt2_EW
2010-02-15,-617.0999999999985,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-16,-616.4000000000015,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-17,-616.9000000000015,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-18,-616.7999999999956,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-19,-617.0,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-20,-617.0999999999985,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-21,-617.2999999999956,430.0,310.0,350.0,7.0,9.0,62.0,454.0,0.0,0.0,0.0,0.0
2010-02-22,-617.0999999999985,430.0,310.0,350.0,7.0,9.0,58.0,386.0,0.0,0.0,0.0,0.0
2010-02-23,-617.0999999999985,430.0,310.0,350.0,7.0,9.0,58.0,386.0,0.0,0.0,0.0,0.0
2010-02-24,-617.1000000000058,500.0,120.0,320.0,6.0,9.0,58.0,386.0,0.0,0.0,0.0,0.0
2010-02-25,-617.0,500.0,120.0,320.0,6.0,9.0,58.0,386.0,0.0,0.0,0.0,0.0
2010-02-26,-616.8000000000029,500.0,120.0,320.0,6.0,9.0,58.0,386.0,0.0,0.0,0.0,0.0
2010-02-27,-617.0,500.0,120.0,320.0,6.0,9.0,58.0,386.0,0.0,0.0,0.0,0.0
2010-02-28,-616.9000000000015,500.0,120.0,320.0,6.0,9.0,58.0,386.0,0.0,0.0,0.0,0.0
2010-03-01,-617.0,500.0,120.0,320.0,6.0,9.0,58.0,386.0,0.0,0.0,0.0,0.0
2010-03-02,-617.0,500.0,120.0,320.0,6.0,9.0,58.0,386.0,0.0,0.0,0.0,0.0
2010-03-03,-616.7999999999956,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-04,-616.8000000000029,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-05,-616.6000000000058,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-06,-616.6000000000058,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-07,-617.0,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-08,-617.0,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-09,-617.0,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-10,-617.0999999999985,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-11,-617.1000000000058,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-12,-617.0,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-13,-616.9000000000015,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-14,-617.0,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-15,-616.9000000000015,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-16,-617.0999999999985,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-17,-617.2999999999956,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-18,-617.2000000000044,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-19,-617.4000000000015,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-20,-617.2999999999956,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-21,-617.1999999999971,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-22,-617.4000000000015,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-23,-617.3000000000029,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-24,-617.3000000000029,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-25,-617.2000000000044,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-26,-617.4000000000015,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-27,-617.5,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-28,-617.4000000000015,500.0,120.0,320.0,6.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-29,-617.4000000000015,790.0,374.0,606.0,7.0,9.0,58.0,388.0,0.0,0.0,0.0,0.0
2010-03-30,-617.5,790.0,374.0,606.0,7.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
2010-03-31,-617.2999999999956,790.0,374.0,606.0,7.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
2010-04-01,-617.1999999999971,790.0,374.0,606.0,7.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
2010-04-02,-617.1999999999971,790.0,374.0,606.0,7.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
2010-04-03,-617.1999999999971,790.0,374.0,606.0,7.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
2010-04-04,-617.1999999999971,790.0,374.0,606.0,7.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
