iter	Logloss
0	0.6825963692
1	0.6737751635
2	0.665310258
3	0.6570246515
4	0.6483857609
5	0.6402210535
6	0.6316661044
7	0.6258091036
8	0.6223228277
9	0.6174161408
10	0.6108064806
11	0.6026117374
12	0.5947593926
13	0.5878033637
14	0.5802944212
15	0.5747961705
16	0.5678765343
17	0.562393216
18	0.5568675347
19	0.5487352354
20	0.5427335883
21	0.5364834741
22	0.5306650649
23	0.5247798837
24	0.5194615368
25	0.5124740341
26	0.5083267133
27	0.5031701298
28	0.4982279073
29	0.493812462
30	0.4871803668
31	0.481643615
32	0.4771096701
33	0.4710239297
34	0.4650249763
35	0.4613297968
36	0.4574143048
37	0.4514534266
38	0.4463762306
39	0.4406699243
40	0.4364286102
41	0.4308554344
42	0.4269433591
43	0.4214062898
44	0.4167761302
45	0.4117743517
46	0.4090525146
47	0.4055122275
48	0.4029312315
49	0.4008135434
50	0.3985392505
51	0.3945795228
52	0.3912466336
53	0.3874349134
54	0.3841233905
55	0.3799195497
56	0.376872076
57	0.3731005721
58	0.3709034882
59	0.3681523265
60	0.3631972428
61	0.3603490727
62	0.3581276821
63	0.35386063
64	0.3501005135
65	0.3466584278
66	0.3442714209
67	0.3405361878
68	0.3361497306
69	0.3335099383
70	0.3307551028
71	0.3277423645
72	0.3248586652
73	0.3228599222
74	0.3200692399
75	0.3181457504
76	0.3142467854
77	0.3118220499
78	0.3089383814
79	0.3065316038
80	0.3041887941
81	0.300565999
82	0.2980784622
83	0.2954215956
84	0.2935146684
85	0.2910324732
86	0.289701399
87	0.2876410782
88	0.2851758945
89	0.2824871696
90	0.2797422386
91	0.2771460393
92	0.2759896138
93	0.2735379973
94	0.271791655
95	0.2702491286
96	0.2687654228
97	0.2669958717
98	0.2657065344
99	0.2640630526
100	0.2623707425
101	0.2598795995
102	0.2575951487
103	0.2555052453
104	0.2529831108
105	0.2510300657
106	0.2502158303
107	0.2491474907
108	0.2478205023
109	0.2460196177
110	0.244168099
111	0.2432308958
112	0.2414518905
113	0.2397727104
114	0.2383913234
115	0.2368366285
116	0.2349427632
117	0.2337650678
118	0.2310261357
119	0.2300148584
120	0.2286667809
121	0.2278059698
122	0.226331811
123	0.2251316805
124	0.2236454861
125	0.2219099788
126	0.2204522047
127	0.2191921697
128	0.2182874157
129	0.2164433069
130	0.2149233124
131	0.214003728
132	0.2124217397
133	0.2112162401
134	0.2101600037
135	0.2089622408
136	0.2079425571
137	0.2074155987
138	0.2054351075
139	0.2038146284
140	0.2023078258
141	0.2014996375
142	0.1998318166
143	0.1988234245
144	0.1969011221
145	0.1954204811
146	0.1945251261
147	0.1926190423
148	0.1917751316
149	0.190540228
150	0.1893650025
151	0.1880565932
152	0.186840993
153	0.1854390189
154	0.1839111438
155	0.1827889534
156	0.1824730321
157	0.1819038152
158	0.180473821
159	0.1798425636
160	0.1783044586
161	0.1779143266
162	0.1766846425
163	0.1759734637
164	0.1746792213
165	0.1736552597
166	0.1729219052
167	0.1715983919
168	0.1704195835
169	0.1695518203
170	0.1681789671
171	0.1668128079
172	0.1656593029
173	0.1648761723
174	0.1639509684
175	0.1626445316
176	0.1616265492
177	0.1606318149
178	0.159860493
179	0.1587194675
180	0.1577651327
181	0.1569256059
182	0.155931551
183	0.1548056281
184	0.1535629592
185	0.1529575443
186	0.1519477592
187	0.151124802
188	0.1504824758
189	0.1496520119
190	0.1489346778
191	0.1484788408
192	0.1473188818
193	0.1466928805
194	0.1460438422
195	0.1454115523
196	0.1449446645
197	0.1441069819
198	0.1427916656
199	0.1424248253
